	"X8294_w_01.isoforms.results"	"X8295_w_01.isoforms.results"	"X8296_w_01.isoforms.results"	"X8297_nos_01.isoforms.results"	"X8298_nos_01.isoforms.results"	"X8299_nos_01.isoforms.results"	"X8300_w_23.isoforms.results"	"X8301_w_23.isoforms.results"	"X8302_w_23.isoforms.results"	"X8303_nos_23.isoforms.results"	"X8304_nos_23.isoforms.results"	"X8305_nos_23.isoforms.results"
"FBtr0073839"	453.00	391.00	367.00	416.00	580.00	571.00	607.00	716.00	787.00	761.00	1204.00	848.00
"FBtr0073833"	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
"FBtr0301044"	2056.63	2073.69	1459.74	1795.43	1730.83	2000.36	261.43	193.74	174.24	457.34	437.96	465.91
"FBtr0301045"	0.01	0.00	0.00	50.45	0.01	111.72	0.00	0.00	0.00	0.00	0.01	0.00
"FBtr0301046"	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
"FBtr0303292"	48.63	40.85	18.83	69.14	45.50	48.70	0.00	7.70	0.00	45.75	9.94	0.00
"FBtr0309245"	4.16	14.72	19.48	16.56	21.24	15.03	4.08	6.21	14.14	12.71	10.53	12.53
"FBtr0309246"	696.80	640.97	517.25	589.42	509.30	553.26	69.52	52.26	71.85	203.94	363.99	150.28
"FBtr0340444"	10.87	0.00	0.00	0.00	30.19	0.00	5.97	11.09	0.00	0.00	76.57	14.27
"FBtr0340445"	24.91	19.77	14.70	0.00	10.93	62.93	0.00	0.00	13.77	15.27	0.00	0.00
"FBtr0073799"	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
"FBtr0073800"	0.00	0.00	11.55	0.00	0.00	0.00	8.49	16.82	28.99	0.00	2.88	8.68
"FBtr0310431"	15.00	8.00	43.45	0.00	0.00	25.00	59.51	127.18	150.01	19.00	5.12	14.32
"FBtr0347127"	0.00	3.00	0.00	0.00	0.00	0.00	1.00	5.00	1.00	0.00	0.00	0.00
"FBtr0300453"	686.00	707.00	600.00	662.00	711.00	790.00	645.00	592.00	439.00	802.00	857.00	750.00
"FBtr0073734"	0.00	0.00	0.00	0.00	0.00	0.00	3.00	2.00	5.00	6.00	9.00	4.00
"FBtr0073728"	300.51	302.03	275.94	276.75	271.71	310.81	273.81	318.27	345.24	385.86	525.12	441.86
"FBtr0073729"	189.49	253.97	222.06	207.25	399.29	337.19	299.19	325.73	411.76	348.14	522.88	441.14
"FBtr0305598"	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
"FBtr0346281"	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
"FBtr0073716"	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
"FBtr0305599"	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
"FBtr0073725"	0.00	1.00	0.00	0.00	4.00	31.00	35.00	9.00	9.00	38.00	4.00	23.00
"FBtr0073702"	5.00	0.00	7.00	0.00	0.00	1.06	1.62	0.00	0.00	0.00	3.00	0.14
"FBtr0073703"	0.00	1.00	0.00	1.00	0.00	0.00	0.72	2.69	1.57	1.00	0.00	0.00
"FBtr0340412"	0.00	0.00	0.00	0.00	0.00	1.94	0.00	0.00	4.43	0.00	0.00	0.00
"FBtr0346126"	0.00	0.00	0.00	0.00	3.00	0.00	1.66	5.31	0.00	0.00	0.00	3.86
"FBtr0073697"	1092.00	981.00	815.00	811.00	833.00	985.00	985.00	955.00	802.00	864.00	989.00	856.00
"FBtr0073698"	1.00	0.00	0.00	0.00	0.00	4.00	0.00	1.00	0.00	2.00	0.00	0.00
"FBtr0073672"	0.00	0.00	0.00	0.00	1.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
"FBtr0347270"	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
"FBtr0113444"	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
"FBtr0113445"	4165.86	3107.09	2633.79	2686.09	2435.69	3199.96	1847.96	1652.03	1296.18	2075.25	1933.77	1967.04
"FBtr0310304"	318.19	198.77	156.68	112.49	144.12	159.56	63.99	98.45	88.66	154.29	102.76	130.36
"FBtr0340104"	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
"FBtr0340105"	27.13	28.26	9.79	116.39	64.88	85.45	40.76	38.24	26.70	98.14	66.40	107.79
"FBtr0340106"	2943.82	1727.89	1950.74	1528.03	1333.31	2020.03	1140.29	779.28	618.46	1005.31	980.06	887.81
"FBtr0073633"	0.00	0.00	0.00	0.00	0.00	0.00	1.00	2.00	0.00	0.00	0.00	0.00
"FBtr0342741"	70.00	25.00	147.00	3.00	1.00	8.00	52.00	142.00	110.00	2.00	5.00	16.00
"FBtr0073625"	1.00	0.00	2.00	1.00	1.00	2.00	1.00	4.00	4.00	3.00	8.00	5.00
"FBtr0331750"	0.00	0.00	0.00	0.00	0.00	1.00	0.00	0.00	0.00	0.00	0.00	0.00
"FBtr0343098"	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
"FBtr0301020"	1434.47	1135.81	1096.17	853.97	894.83	887.77	304.56	155.18	265.32	328.24	481.97	219.29
"FBtr0301021"	72.89	74.80	66.37	70.93	56.51	86.12	181.65	212.11	243.81	211.88	352.30	199.83
"FBtr0340295"	2140.64	1681.38	1210.46	1319.09	1304.66	1841.11	283.79	575.72	797.87	645.87	947.73	762.89
"FBtr0073474"	4.00	3.00	15.00	1.00	0.00	9.00	5.00	20.00	16.00	4.00	3.00	15.00
"FBtr0073469"	0.00	0.00	0.00	0.00	0.00	2.00	0.00	0.00	1.00	1.00	3.00	1.00
"FBtr0073412"	4.00	9.00	15.00	0.00	0.00	4.00	24.00	38.00	41.00	2.00	1.00	2.00
"FBtr0073401"	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
"FBtr0073402"	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.50	0.00	0.50	0.00
"FBtr0071498"	2291.00	2435.00	2307.00	1824.00	2566.14	2497.87	3514.18	4346.21	4816.33	4074.33	5721.44	4664.24
"FBtr0346375"	0.00	0.00	0.00	0.00	0.00	3.60	0.00	0.00	4.67	4.67	0.00	4.32
"FBtr0346376"	0.00	0.00	0.00	0.00	2.86	2.53	10.82	2.79	0.00	0.00	17.56	5.44
"FBtr0071505"	0.00	0.00	0.00	1.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
"FBtr0071499"	0.00	22.27	0.00	0.00	79.29	0.00	44.55	0.00	0.00	22.20	100.75	49.41
"FBtr0071500"	1585.10	1291.70	1135.85	1181.60	1270.11	1483.34	686.82	633.40	619.66	1076.89	1123.33	864.40
"FBtr0071501"	12.94	18.44	11.88	6.71	0.00	7.28	0.00	29.89	60.38	46.40	34.59	30.92
"FBtr0300569"	344.42	320.86	277.19	221.82	185.19	258.40	116.83	95.99	120.97	187.22	151.79	188.30
"FBtr0334457"	23.38	18.60	9.08	19.10	10.01	20.26	43.08	64.86	39.68	42.30	60.51	47.68
"FBtr0346377"	56.16	36.13	0.00	29.77	64.40	61.72	8.73	16.85	33.31	27.00	18.04	35.28
"FBtr0071503"	7797.86	5746.38	4878.47	5090.02	4761.65	5951.52	850.35	652.81	654.82	2003.04	1749.09	1475.49
"FBtr0333017"	98.14	249.62	228.53	139.98	287.35	296.48	128.65	183.19	214.18	302.96	420.91	252.51
"FBtr0071493"	0.00	0.00	8.29	13.21	0.00	11.41	11.59	12.08	3.51	24.62	0.00	20.53
"FBtr0343041"	8.67	5.00	10.71	19.79	3.00	32.59	7.41	5.92	11.21	24.38	25.60	19.91
"FBtr0343042"	6.33	0.00	0.00	0.00	0.00	0.00	0.00	0.00	3.27	0.00	13.40	14.57
"FBtr0071469"	3.00	8.00	2.00	1.00	7.00	6.00	25.00	42.00	63.00	22.00	38.00	41.00
"FBtr0071466"	0.00	0.00	0.00	0.00	0.00	0.00	2.00	1.00	2.00	0.00	1.00	1.00
"FBtr0071463"	7.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
"FBtr0343034"	0.00	0.00	8.00	1.00	0.00	4.00	3.00	5.00	7.00	2.00	0.00	3.00
"FBtr0071489"	2584.86	2048.96	1971.10	2151.78	1978.67	2444.91	2587.46	2549.39	2671.17	2600.39	3066.36	2939.18
"FBtr0308582"	52.19	9.83	0.00	33.81	0.00	17.47	10.12	9.87	13.40	28.53	14.99	13.12
"FBtr0308583"	647.11	286.05	163.71	187.35	383.41	488.12	624.94	629.78	697.86	498.50	563.49	751.77
"FBtr0308584"	127.85	58.16	42.19	118.07	158.92	163.49	98.48	86.96	116.57	249.58	288.16	280.93
"FBtr0071467"	0.00	0.00	0.00	0.00	0.00	0.00	1.00	0.00	0.00	0.00	1.00	0.00
"FBtr0071468"	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
"FBtr0071458"	55.00	48.00	175.00	1.00	1.00	4.00	59.00	136.10	135.00	5.00	24.00	28.72
"FBtr0336901"	0.00	0.00	0.00	0.00	0.00	0.00	0.00	4.90	0.00	0.00	0.00	4.28
"FBtr0303456"	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	1.00	2.00	0.00	0.00
"FBtr0071420"	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
"FBtr0071410"	0.00	0.00	0.00	0.00	0.00	0.00	3.09	0.00	0.00	4.14	0.00	3.68
"FBtr0071411"	0.00	0.00	0.00	0.00	0.00	42.83	40.03	0.00	0.00	28.38	21.84	48.12
"FBtr0071412"	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
"FBtr0307380"	0.00	1.00	0.54	0.00	0.00	21.94	10.87	0.00	1.00	2.39	1.77	5.52
"FBtr0307381"	3.00	1.55	3.66	2.00	3.00	0.00	0.00	1.00	4.82	0.00	0.00	0.00
"FBtr0307382"	0.00	1.45	1.80	0.00	0.00	0.00	0.00	0.00	1.18	0.00	0.00	0.00
"FBtr0340479"	0.00	0.00	0.00	0.00	2.00	1.23	0.00	0.00	0.00	3.10	2.39	1.68
"FBtr0071398"	3.81	6.00	3.82	0.00	0.00	2.00	4.00	6.86	1.55	2.00	0.35	5.00
"FBtr0343033"	2.19	0.00	3.18	0.00	0.00	0.00	0.00	5.14	19.45	0.00	2.65	0.00
"FBtr0346169"	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
"FBtr0071386"	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	12.21	4.77	11.24	12.64
"FBtr0307489"	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
"FBtr0336923"	10.42	5.28	14.55	3.82	2.50	2.53	5.21	7.77	6.79	5.23	7.76	1.36
"FBtr0346170"	67.58	42.72	33.45	15.18	5.50	14.47	20.79	15.23	0.00	0.00	0.00	0.00
"FBtr0110850"	3366.00	3058.00	2269.00	2369.00	2930.00	3037.00	453.00	481.00	498.00	1141.00	1279.00	967.00
"FBtr0273437"	41.00	19.00	45.00	41.00	32.00	82.00	46.00	68.00	79.00	104.00	103.00	78.00
"FBtr0071329"	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	12.35
"FBtr0302965"	1.00	1.00	0.00	2.00	2.00	4.00	11.00	10.86	11.97	6.00	22.00	2.03
"FBtr0302966"	0.00	0.00	0.00	0.00	0.00	0.00	0.00	1.14	2.03	0.00	0.00	1.63
"FBtr0071333"	2.00	0.00	0.00	1.00	0.00	1.00	7.00	9.00	6.00	2.00	4.00	6.00
"FBtr0071287"	3.87	7.50	3.86	16.06	24.02	43.15	14.22	22.90	31.60	67.52	89.68	79.78
"FBtr0071285"	1168.35	884.12	844.46	744.84	820.44	1047.92	562.90	587.17	430.08	628.34	773.04	619.79
"FBtr0309872"	364.65	543.88	358.54	335.16	404.56	218.08	211.10	157.83	278.92	344.66	305.96	275.21
"FBtr0071286"	469.00	441.00	369.00	444.00	534.00	562.00	543.00	712.00	782.00	752.00	1109.00	903.00
"FBtr0300386"	3.00	1.00	0.00	0.00	3.00	3.00	4.00	2.00	3.00	2.00	2.00	2.00
"FBtr0071243"	0.00	0.00	0.00	1.08	0.00	0.00	0.00	0.00	0.00	0.00	2.00	0.00
"FBtr0343355"	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
"FBtr0300461"	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
"FBtr0332490"	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
"FBtr0332491"	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
"FBtr0071083"	0.00	3.00	2.00	3.00	4.00	0.00	2.00	0.00	1.00	3.00	9.00	3.00
"FBtr0304870"	0.00	1.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
"FBtr0071059"	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
"FBtr0343326"	0.00	1.00	0.00	0.00	0.00	0.00	0.00	1.00	0.00	0.00	0.00	0.00
"FBtr0071039"	2236.00	2008.00	1454.00	1453.00	1399.00	1692.00	125.00	72.00	96.00	298.00	295.00	205.00
"FBtr0071001"	0.00	0.00	0.00	0.00	0.00	1.00	0.00	0.00	0.00	0.00	0.00	0.00
"FBtr0071007"	31.45	56.09	55.18	27.35	34.87	26.22	25.36	27.45	20.61	19.88	34.52	6.97
"FBtr0071008"	134.55	143.91	100.32	104.65	125.63	139.28	23.64	35.05	55.89	60.62	80.48	73.03
"FBtr0070979"	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
"FBtr0070932"	0.00	0.00	0.00	1.01	2.03	1.01	0.00	0.00	0.00	4.03	2.02	2.02
"FBtr0070911"	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
"FBtr0070881"	3.00	2.00	5.00	0.00	1.00	5.00	6.00	22.00	11.00	4.00	5.00	8.00
"FBtr0070880"	2.00	4.00	6.00	0.00	0.00	0.00	18.00	21.22	27.00	0.00	0.00	0.00
"FBtr0340669"	0.00	0.00	0.00	0.00	0.00	0.00	0.00	28.78	0.00	0.00	0.00	0.00
"FBtr0070862"	0.00	0.00	2.00	1.00	1.00	3.00	4.00	8.00	13.00	5.00	8.00	11.00
"FBtr0070860"	799.19	793.22	746.69	502.88	693.49	574.55	580.14	515.50	397.87	544.33	687.45	535.78
"FBtr0343295"	13.08	20.75	25.61	19.72	23.02	43.15	47.13	64.54	106.33	66.01	51.25	89.06
"FBtr0070843"	1867.46	1230.18	906.73	1299.71	1189.61	1592.43	399.63	298.38	358.38	626.44	535.29	542.89
"FBtr0339525"	271.95	268.75	242.85	313.29	359.89	290.28	0.00	0.00	0.00	154.08	236.79	131.75
"FBtr0340670"	43.59	70.06	52.41	0.00	38.49	78.29	221.37	235.62	273.62	200.47	228.92	258.36
"FBtr0070818"	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
"FBtr0070791"	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
"FBtr0345787"	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
"FBtr0300994"	2812.11	1119.46	1630.38	786.92	426.57	663.12	1114.74	765.21	679.75	567.81	459.65	727.08
"FBtr0300995"	2972.62	2296.24	2223.57	2495.14	2701.95	2517.00	1352.83	1145.59	1244.31	1905.78	1391.58	1406.28
"FBtr0302118"	369.84	255.09	231.92	305.32	400.46	835.15	270.30	399.16	268.33	453.88	771.74	502.29
"FBtr0302119"	311.86	496.28	323.02	283.66	251.48	685.11	439.50	350.95	109.10	216.79	605.41	536.88
"FBtr0331757"	467.70	413.23	347.36	215.87	197.23	349.09	346.51	162.42	160.47	216.55	166.19	292.42
"FBtr0331758"	175.02	172.33	172.36	150.97	220.24	374.40	326.85	405.34	363.86	548.10	885.36	545.89
"FBtr0300997"	517.10	435.69	386.76	460.95	698.75	717.24	109.21	53.16	134.44	280.97	362.64	146.78
"FBtr0342951"	960.68	648.73	344.57	655.86	157.81	396.66	67.67	93.20	44.75	0.00	7.59	0.00
"FBtr0342952"	1215.34	930.53	733.56	679.19	581.41	614.11	103.71	135.93	28.40	243.11	232.64	182.52
"FBtr0343533"	284.88	582.05	682.11	0.00	573.03	457.99	137.40	40.71	150.41	261.93	169.12	186.70
"FBtr0344479"	20.82	0.00	0.00	3.45	0.00	2.55	5.97	6.58	7.52	0.00	4.17	0.00
"FBtr0344480"	49.18	88.00	93.00	5.55	8.00	5.45	36.03	44.42	32.48	5.00	8.83	9.00
"FBtr0307050"	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	1.00	3.00
"FBtr0343573"	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
"FBtr0344826"	9.31	24.29	24.51	200.12	102.90	153.98	185.63	207.06	314.19	245.28	381.61	326.95
"FBtr0070603"	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
"FBtr0344825"	298.65	240.55	217.42	130.88	247.12	176.65	205.52	273.25	266.22	206.71	382.74	277.48
"FBtr0070588"	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
"FBtr0333794"	28.79	23.59	8.53	3.55	6.59	5.19	0.00	7.79	6.48	7.31	8.04	4.06
"FBtr0333795"	57.21	45.85	44.57	22.45	31.49	38.84	25.00	22.30	26.52	33.76	81.02	54.02
"FBtr0307179"	0.00	0.00	0.00	0.00	0.00	1.00	0.00	1.00	1.00	1.00	1.00	0.00
"FBtr0307180"	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
"FBtr0070550"	2.00	1.00	0.00	1.00	0.00	1.00	2.00	0.00	1.00	2.00	2.00	2.00
"FBtr0070461"	0.00	1.00	1.00	0.00	1.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
"FBtr0070355"	2.00	7.00	0.00	3.00	4.00	7.00	13.00	9.00	13.00	18.00	20.00	14.00
"FBtr0070356"	757.21	766.14	629.42	551.97	786.71	670.00	800.46	847.77	757.89	785.18	959.62	851.93
"FBtr0332581"	17.59	7.95	13.31	15.03	20.81	26.66	25.35	15.23	45.86	42.82	41.09	52.37
"FBtr0332582"	4.20	12.91	18.26	0.00	7.48	9.34	9.18	19.00	9.25	0.00	4.29	4.70
"FBtr0070301"	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
"FBtr0070295"	4.00	1.00	2.00	12.00	7.00	6.00	14.00	21.00	21.00	28.00	35.00	26.00
"FBtr0302877"	0.00	0.00	1.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
"FBtr0070219"	0.00	0.00	0.00	0.00	27.16	13.61	0.00	0.00	0.00	43.38	16.49	0.00
"FBtr0070222"	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	7.38
"FBtr0330317"	0.00	0.00	0.00	0.00	0.00	9.96	0.00	0.00	0.00	57.76	0.00	25.37
"FBtr0330318"	0.00	0.00	0.00	0.00	0.00	0.00	4.72	0.00	0.00	0.00	0.00	0.00
"FBtr0330319"	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
"FBtr0330320"	0.00	3.88	0.00	0.00	0.00	3.56	0.00	0.00	0.00	0.00	3.59	3.22
"FBtr0342735"	8.17	11.50	19.74	44.00	3.84	35.72	23.28	34.42	28.45	13.85	36.20	20.55
"FBtr0342736"	0.00	3.62	12.26	0.00	0.00	22.15	0.00	6.58	20.55	0.00	38.72	36.48
"FBtr0342737"	25.83	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
