	"RWUpf_B.genes.results"	"RWUpf_C.genes.results"	"RWUpf_D.genes.results"	"RWNos_A.genes.results"	"RWNos_B.genes.results"	"RWNos_C.genes.results"	"RWUN_G.genes.results"	"RWUN_K.genes.results"	"RWUN_L.genes.results"	"RWL7_A.genes.results"	"RWL7_B.genes.results"	"RWL7_C.genes.results"	"RWW_B.genes.results"	"RWW_C.genes.results"	"RWW_D.genes.results"
"FBgn0000003"	0.00	33.00	39.00	101.00	85.00	83.00	78.00	35.50	44.50	46.00	59.50	50.00	45.50	91.00	39.00
"FBgn0000008"	421.00	646.00	799.00	579.00	757.00	564.00	191.00	105.00	159.00	298.00	241.00	278.00	378.00	506.00	902.00
"FBgn0000014"	0.00	0.00	1.00	1.00	0.00	4.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
"FBgn0000015"	0.00	0.00	0.00	0.00	1.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
"FBgn0000017"	921.00	1972.00	2386.00	635.00	1018.00	386.00	2757.00	1661.00	2420.00	751.00	555.00	690.00	863.00	1100.00	2387.00
"FBgn0000018"	524.00	641.00	539.00	863.00	915.00	771.00	375.00	359.00	386.00	667.00	524.00	709.00	832.00	736.00	922.00
"FBgn0000022"	8.00	8.00	3.00	10.00	12.00	10.00	11.00	5.00	10.00	17.00	7.00	18.00	42.00	11.00	25.00
"FBgn0000024"	0.00	0.00	0.00	0.00	2.00	0.00	0.00	2.00	0.00	0.00	0.00	0.00	0.00	0.00	1.00
"FBgn0000028"	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
"FBgn0000032"	3990.00	4947.00	4378.00	5467.00	6166.00	5151.00	3723.00	3235.00	3445.00	4703.00	4041.00	4721.00	4534.00	4072.00	6094.00
"FBgn0000036"	0.00	1.00	0.00	0.00	0.00	0.00	0.00	1.00	0.00	1.00	0.00	1.00	0.00	0.00	0.00
"FBgn0000037"	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
"FBgn0000038"	0.00	1.00	0.00	2.00	0.00	0.00	2.00	1.00	2.00	2.00	0.00	3.00	6.00	6.00	10.00
"FBgn0000039"	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
"FBgn0000042"	37935.00	50251.00	49945.00	54224.00	59060.00	54825.00	69169.00	61403.00	66447.00	38025.00	39606.00	42867.00	42634.00	36971.00	64301.00
"FBgn0000043"	4255.00	5089.00	5162.00	6309.00	6937.00	6238.00	7118.00	6329.00	6517.00	4594.00	4478.00	4667.00	5024.00	4061.00	7205.00
"FBgn0000044"	4.00	3.00	2.00	10.00	1.00	0.00	1.00	1.00	0.00	0.00	0.00	3.00	3.00	2.00	12.00
"FBgn0000045"	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	1.00	0.00	0.00	0.00
"FBgn0000046"	0.00	0.00	0.00	1.00	2.00	1.00	0.00	0.00	0.00	0.00	0.00	1.00	1.00	1.00	0.00
"FBgn0000047"	1.00	2.00	0.00	0.00	0.00	0.00	0.00	0.00	1.00	0.00	1.00	1.00	0.00	0.00	0.00
"FBgn0000052"	996.00	1462.00	1627.00	1452.00	1546.00	1408.00	325.00	207.00	332.00	727.00	693.00	850.00	825.00	954.00	1429.00
"FBgn0000053"	723.00	956.00	1031.00	1207.00	1329.00	1091.00	954.00	833.00	859.00	619.00	864.00	912.00	439.00	442.00	784.00
"FBgn0000055"	3260.44	3649.80	2649.92	5214.51	5379.25	5098.99	333.85	247.36	292.48	5770.03	4991.25	4853.66	7451.85	7666.33	6793.78
"FBgn0000056"	21.56	15.20	7.08	20.49	30.75	18.01	10.15	8.64	8.52	35.97	34.75	45.34	24.15	40.67	43.22
"FBgn0000057"	1014.00	1374.00	1275.00	1620.00	1674.00	1506.00	741.00	576.00	737.00	979.00	1014.00	1195.00	1147.00	1135.00	1623.00
"FBgn0000061"	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
"FBgn0000063"	1224.00	1555.00	1287.00	1805.00	2128.00	1803.00	183.00	115.00	201.00	1280.00	1111.00	1446.00	1470.00	1361.00	2075.00
"FBgn0000064"	3270.00	5047.00	4862.00	4607.00	5079.00	4669.00	5487.00	5412.00	5419.00	3898.00	3967.00	3656.00	3327.00	3353.00	5006.00
"FBgn0000071"	0.00	2.00	1.00	12.00	24.00	108.00	3.00	0.00	1.00	2.00	1.00	3.00	1.00	0.00	1.00
"FBgn0000075"	0.00	0.00	0.00	0.00	1.00	1.00	2.00	0.00	1.00	1.00	3.00	2.00	2.00	1.00	2.00
"FBgn0000077"	849.00	1059.00	840.00	1208.00	1358.00	1195.00	543.00	466.00	436.00	1031.00	923.00	1059.00	1119.00	1042.00	1286.00
"FBgn0000078"	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
"FBgn0000079"	1.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	1.00	0.00	0.00	0.00	0.00
"FBgn0000083"	2178.00	2193.00	1935.00	3689.00	3767.00	3460.00	2402.00	2711.00	2431.00	2665.00	2563.00	2422.00	1808.00	1376.00	2277.00
"FBgn0000084"	837.00	808.00	805.00	1017.00	1028.00	933.00	87.00	76.00	80.00	880.00	1011.00	1021.00	1047.00	903.00	867.00
"FBgn0000092"	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	1.00	0.00	0.00	0.00	0.00	1.00
"FBgn0000094"	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	1.00	1.00
"FBgn0000097"	1308.00	2181.00	2477.00	1776.00	2362.00	1721.00	1366.00	908.00	1290.00	1132.00	894.00	1184.00	1375.00	1393.00	3073.00
"FBgn0000100"	31293.00	34811.00	29337.00	28867.00	25705.00	30778.00	36192.00	41517.00	40733.00	29501.00	39201.00	42902.00	28348.00	27251.00	30322.00
"FBgn0000108"	13.00	23.00	29.00	17.00	5.00	10.00	12.00	12.00	17.00	11.00	13.00	6.00	12.00	12.00	18.00
"FBgn0000109"	545.00	613.00	529.00	752.00	881.00	684.00	613.00	638.00	634.00	732.00	767.00	732.00	675.00	657.00	842.00
"FBgn0000114"	12304.00	17257.00	16064.00	19202.00	21135.00	18310.00	1197.00	672.00	1071.00	12891.00	11834.00	13560.00	13637.00	14715.00	20162.00
"FBgn0000115"	1781.00	1905.00	1556.00	2298.00	2511.00	2259.00	1801.00	2217.00	1907.00	2112.00	2302.00	2220.00	2122.00	1919.00	2470.00
"FBgn0000116"	1521.00	2124.00	1905.00	2695.00	2538.00	2707.00	129.00	82.00	116.00	1083.00	1110.00	1169.00	993.00	1323.00	1863.00
"FBgn0000117"	7123.00	10119.00	10705.00	9571.00	11202.00	9404.00	13681.00	10478.00	11660.00	7460.00	6548.00	6668.00	6688.00	5496.00	12378.00
"FBgn0000119"	672.00	1269.00	1430.00	685.00	994.00	541.00	1246.00	815.00	1139.00	498.00	382.00	556.00	641.00	582.00	1533.00
"FBgn0000120"	0.00	2.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	1.00	0.00	2.00	0.00
"FBgn0000121"	1.00	1.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	1.00	1.00	1.00	0.00
"FBgn0000137"	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
"FBgn0000139"	1268.00	1654.00	1518.00	1748.00	1907.00	1664.00	1908.00	1779.00	1856.00	1317.00	1315.00	1519.00	1463.00	1261.00	2117.00
"FBgn0000140"	3315.00	6222.00	7099.00	4264.00	5542.00	3764.00	3050.00	1742.00	2808.00	2565.00	2128.00	2568.00	2253.00	2816.00	6640.00
"FBgn0000146"	1585.00	1922.00	2180.00	2426.00	2761.00	2319.00	2140.00	1730.00	2007.00	2544.00	1560.00	2013.00	1987.00	1375.00	3187.00
"FBgn0000147"	2930.00	3145.00	2987.00	4659.00	5037.00	4449.00	2683.00	2783.00	2573.00	3772.00	3675.00	4079.00	3656.00	3037.00	4834.00
"FBgn0000150"	22618.00	23214.00	20141.00	23312.00	23061.00	24843.00	11147.00	13651.00	13517.00	26462.00	31531.00	28388.00	23444.00	22809.00	19671.00
"FBgn0000152"	620.00	774.00	767.00	1036.00	1057.00	948.00	295.00	238.00	314.00	653.00	737.00	872.00	646.00	549.00	952.00
"FBgn0000153"	2.00	4.00	5.00	5.00	6.00	6.00	2.00	5.00	8.00	6.00	11.00	7.00	2.00	5.00	1.00
"FBgn0000157"	0.00	0.00	0.00	0.00	2.00	3.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
"FBgn0000158"	1624.00	2060.00	1775.00	1965.00	2171.00	1826.00	947.00	964.00	984.00	1297.00	1399.00	1620.00	1436.00	1530.00	2011.00
"FBgn0000163"	852.00	1562.00	1737.00	553.00	865.00	397.00	1538.00	976.00	1382.00	582.00	436.00	508.00	589.00	787.00	1863.00
"FBgn0000166"	3838.14	3933.00	4550.00	5892.00	6469.53	5119.56	157.89	86.83	126.83	3852.57	3950.00	4287.61	4142.00	2678.49	5522.59
"FBgn0000173"	5926.00	6746.00	5413.00	8412.00	9236.00	8200.00	7727.00	8614.00	7545.00	7458.00	7206.00	7280.00	6621.00	6068.00	8436.00
"FBgn0000179"	1.00	2.00	2.00	1.00	1.00	0.00	1.00	1.00	1.00	6.00	6.00	0.00	0.00	0.00	0.00
"FBgn0000180"	2.00	3.00	4.00	7.00	5.00	30.00	6.00	10.00	6.00	1.00	1.00	1.00	5.00	2.00	7.00
"FBgn0000181"	24377.00	25710.00	21771.00	32575.00	33398.00	31486.00	13373.00	15555.00	14484.00	29650.00	28594.00	29942.00	30143.00	28167.00	29285.00
"FBgn0000182"	5723.06	8430.96	8265.52	7914.05	9011.88	7297.73	155.01	77.00	158.00	3298.50	3472.52	4356.58	3576.26	5488.68	7313.66
"FBgn0000183"	3741.00	4981.00	5244.00	4092.00	5051.00	3787.00	3788.00	2881.00	3437.00	3384.00	2823.00	3520.00	3670.00	3068.00	7420.00
"FBgn0000206"	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
"FBgn0000212"	1634.00	3976.00	4931.00	1321.00	1894.00	1047.00	5680.00	3029.00	5029.00	1130.00	985.00	1232.00	1298.00	1534.00	3835.00
"FBgn0000216"	29.00	37.00	39.00	46.00	62.00	53.00	34.00	37.00	23.00	69.00	59.00	93.00	143.00	55.00	108.00
"FBgn0000221"	340.00	470.00	407.00	462.00	525.00	484.00	296.00	317.00	346.00	383.00	405.00	421.00	374.00	435.00	471.00
"FBgn0000227"	15.00	16.00	10.00	95.00	151.00	260.00	21.00	14.00	20.00	24.00	20.00	37.00	72.00	17.00	37.00
"FBgn0000228"	1671.00	3186.00	3447.00	2397.00	3023.00	2475.00	3606.00	2470.00	3137.00	1442.00	1331.00	1479.00	1617.00	1696.00	4016.00
"FBgn0000229"	364.00	477.00	408.00	625.00	739.00	600.00	90.00	61.00	78.00	577.00	555.00	651.00	578.00	631.00	640.00
"FBgn0000233"	0.00	2.00	1.00	2.00	0.00	3.00	1.00	1.00	0.00	0.00	0.00	1.00	0.00	0.00	0.00
"FBgn0000239"	6000.00	8120.00	7765.00	7161.00	8644.00	6658.00	8237.00	6509.00	7358.00	5598.00	4688.00	5804.00	5876.00	5100.00	10726.00
"FBgn0000241"	4.00	6.00	5.00	4.00	0.00	2.00	10.00	7.00	8.00	4.00	4.00	4.00	0.00	0.00	0.00
"FBgn0000244"	139.00	122.00	140.00	234.00	214.00	206.00	242.00	208.00	212.00	199.00	173.00	157.00	109.00	128.00	188.00
"FBgn0000246"	489.00	665.00	522.00	692.00	853.00	611.00	1291.00	1246.00	1244.00	915.00	714.00	732.00	1762.00	1587.00	3447.00
"FBgn0000247"	443.00	882.00	1107.00	467.00	691.00	411.00	140.00	55.00	103.00	272.00	246.00	356.00	346.00	456.00	988.00
"FBgn0000250"	8014.00	9809.00	10098.00	12157.00	13527.00	12091.00	12128.00	10482.00	11516.00	8850.00	7934.00	9403.00	9248.00	6809.00	14634.00
"FBgn0000251"	3592.00	4761.00	4912.00	5176.00	5700.00	4941.00	4025.00	3244.00	3980.00	3656.00	3698.00	4292.00	4116.00	3564.00	5236.00
"FBgn0000253"	15088.26	20325.45	17855.39	21685.09	23223.92	18843.06	24022.92	22950.85	22908.83	16280.90	14755.71	15840.24	13710.45	11427.19	24613.40
"FBgn0000256"	418.00	556.00	542.00	273.00	405.00	224.00	99.00	57.00	102.00	330.00	258.00	364.00	383.00	525.00	739.00
"FBgn0000257"	899.00	1080.00	1140.00	1245.00	1417.00	1159.00	529.00	426.00	453.00	939.00	946.00	1066.00	980.00	951.00	1321.00
"FBgn0000259"	4190.00	5112.00	3890.00	5370.00	5432.00	4802.00	1163.00	1040.00	1052.00	4161.00	3239.00	4108.00	3922.00	5250.00	5955.00
"FBgn0000261"	874.00	1013.00	1099.00	1552.00	1767.00	1557.00	1728.00	1422.00	1586.00	1057.00	1024.00	1216.00	1256.00	864.00	1816.00
"FBgn0000273"	1779.00	2983.00	3103.00	2380.00	2928.00	2191.00	3926.00	2812.00	3497.00	1616.00	1390.00	1730.00	1734.00	1735.00	4040.00
"FBgn0000274"	18.00	20.00	11.00	23.00	29.00	23.00	47.00	39.00	40.00	37.00	39.00	36.00	15.00	17.00	28.00
"FBgn0000276"	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
"FBgn0000277"	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
"FBgn0000278"	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
"FBgn0000279"	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
"FBgn0000280"	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
"FBgn0000281"	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
"FBgn0000283"	5302.00	9112.00	9693.00	5314.00	6666.00	4885.00	12767.00	9107.00	11049.00	4931.00	3851.00	4558.00	4394.00	3681.00	11221.00
"FBgn0000286"	567.00	962.00	953.00	614.00	695.00	518.00	25.00	14.00	24.00	452.00	440.00	526.00	567.00	810.00	1072.00
"FBgn0000287"	1.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	1.00	0.00	0.00	0.00	0.00
"FBgn0000289"	3758.00	5341.00	5484.00	5623.00	6766.00	5206.00	4348.00	3199.00	4068.00	3825.00	3307.00	4089.00	3913.00	3433.00	6814.00
"FBgn0000299"	0.00	0.00	0.00	0.00	0.00	0.00	1.00	0.00	0.00	0.00	2.00	0.00	0.00	0.00	0.00
"FBgn0000303"	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
"FBgn0000307"	2256.35	4861.31	5058.35	1789.17	2678.43	1434.82	6196.43	4174.43	5530.66	1519.85	1070.13	1357.63	1599.30	2046.55	5899.01
"FBgn0000308"	10042.00	11886.00	9860.00	15168.00	16317.00	13962.00	12110.00	13974.00	12388.00	12522.00	11789.00	11955.00	11791.00	11035.00	13866.00
"FBgn0000316"	3386.00	3737.00	3666.00	4310.00	4926.00	4416.00	5094.00	4760.00	4560.00	4177.00	3640.00	3848.00	3488.00	2334.00	5071.00
"FBgn0000317"	1353.00	2847.00	3135.00	1365.00	1801.00	1207.00	3907.00	2416.00	3364.00	1030.00	746.00	1012.00	978.00	998.00	2930.00
"FBgn0000318"	3293.00	3289.00	2566.00	3200.00	3369.00	3050.00	3016.00	3914.00	3344.00	4037.00	4377.00	4337.00	4204.00	3834.00	4112.00
"FBgn0000319"	3153.00	5426.00	5361.00	4736.00	5799.00	4500.00	7886.00	5191.00	7084.00	2506.00	2634.00	3405.00	2922.00	2656.00	7416.00
"FBgn0000320"	0.00	0.00	0.00	0.00	0.00	1.00	0.00	1.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
"FBgn0000326"	673.00	828.00	873.00	994.00	1088.00	907.00	1154.00	1034.00	1098.00	874.00	867.00	959.00	799.00	640.00	1121.00
"FBgn0000330"	1122.00	1238.00	1190.00	1846.00	1862.00	1735.00	1732.00	1759.00	1645.00	1330.00	1436.00	1528.00	1287.00	1166.00	1548.00
"FBgn0000337"	3.00	1.00	1.00	3.00	2.00	1.00	0.00	1.00	0.00	0.00	1.00	1.00	1.00	1.00	0.00
"FBgn0000339"	1967.00	2012.00	1588.00	2327.00	2520.00	2178.00	2036.00	2555.00	2110.00	2561.00	2420.00	2500.00	2490.00	2157.00	2466.00
"FBgn0000346"	121.00	148.00	175.00	242.00	241.00	218.00	303.00	229.00	250.00	134.00	183.00	182.00	262.00	237.00	489.00
"FBgn0000351"	380.00	455.00	333.00	585.00	530.00	543.00	20.00	18.00	13.00	381.00	347.00	396.00	492.00	638.00	628.00
"FBgn0000352"	1609.00	2440.00	2875.00	1859.00	2271.00	1602.00	3410.00	2565.00	3204.00	1469.00	1239.00	1395.00	1442.00	1245.00	3259.00
"FBgn0000355"	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
"FBgn0000356"	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
"FBgn0000357"	1.00	0.00	0.00	0.00	0.00	1.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
"FBgn0000358"	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
"FBgn0000359"	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
"FBgn0000360"	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
"FBgn0000370"	5589.19	6697.18	6311.00	5612.60	6177.28	5131.64	8713.19	9146.00	8139.00	8694.04	6020.66	6657.41	6403.37	5479.55	9209.52
"FBgn0000376"	1934.00	2942.00	3423.00	2263.00	2768.00	1919.00	2878.00	2201.00	2941.00	1700.00	1720.00	1993.00	2113.00	2022.00	4138.00
"FBgn0000377"	951.00	1211.00	1267.00	1563.00	1625.00	1589.00	1803.00	1557.00	1711.00	920.00	1064.00	1092.00	1026.00	809.00	1680.00
"FBgn0000382"	1212.00	2316.00	2625.00	1202.00	1498.00	943.00	2235.00	1498.00	2091.00	916.00	771.00	877.00	869.00	1153.00	2462.00
"FBgn0000384"	5498.92	6492.06	5306.23	7015.31	8006.97	6183.09	7619.32	8137.59	7354.47	6655.17	5264.66	6134.29	5696.06	5348.18	8613.47
"FBgn0000392"	3588.35	6129.22	6479.44	5851.67	6744.80	5695.79	2502.98	1700.63	2493.33	2807.86	2632.10	3304.30	3126.87	3767.58	7322.14
"FBgn0000394"	186.00	182.00	173.00	360.00	361.00	321.00	53.00	42.00	48.00	319.00	198.00	258.00	326.00	282.00	359.00
"FBgn0000395"	0.00	1.00	0.00	1.00	4.00	6.00	0.00	0.00	0.00	0.00	0.00	1.00	1.00	0.00	0.00
"FBgn0000404"	30919.00	39233.00	37550.00	35330.00	41060.00	32629.00	28377.00	21739.00	24152.00	34919.00	28285.00	31100.00	27194.00	17762.00	49523.00
"FBgn0000405"	57740.00	77926.00	80481.00	76004.00	90211.00	73365.00	81755.00	63397.00	71979.00	66517.00	58126.00	67027.00	60002.00	41783.00	101268.00
"FBgn0000406"	0.00	1.00	0.00	0.00	0.00	0.00	0.00	0.00	1.00	2.00	1.00	1.00	15.00	7.00	15.00
"FBgn0000411"	0.00	0.00	5.00	36.00	19.00	91.00	0.00	4.00	2.00	2.00	1.00	1.00	1.00	1.00	1.00
"FBgn0000412"	5591.00	6762.00	6676.00	8258.00	8463.00	7806.00	8528.00	8136.00	8065.00	6267.00	6425.00	6432.00	5708.00	4132.00	9037.00
"FBgn0000414"	585.00	1544.00	1864.00	410.00	650.00	287.00	1497.00	802.00	1389.00	383.00	306.00	416.00	493.00	786.00	1775.00
"FBgn0000416"	7299.00	11682.00	11458.00	8371.00	9903.00	8509.00	14821.00	9611.00	12828.00	7027.00	5923.00	7344.00	6832.00	5700.00	14702.00
"FBgn0000422"	0.00	0.00	0.00	0.00	1.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
"FBgn0000426"	1906.00	1881.00	1527.00	2257.00	2269.00	2185.00	2009.00	2672.00	2263.00	2631.00	2648.00	2599.00	2165.00	2188.00	2024.00
"FBgn0000427"	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
"FBgn0000439"	2.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
"FBgn0000442"	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
"FBgn0000447"	1456.00	1751.00	1758.00	2089.00	2222.00	2048.00	1806.00	2056.00	2051.00	1426.00	1652.00	1643.00	1469.00	1629.00	1785.00
"FBgn0000448"	13.61	25.14	15.33	4.67	13.07	6.00	1.33	2.67	2.66	2.00	6.00	8.00	14.50	18.28	46.61
"FBgn0000449"	0.00	0.00	0.00	1.00	7.00	19.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
"FBgn0000451"	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
"FBgn0000454"	3420.00	3951.00	3682.00	4938.00	5029.00	4786.00	337.00	256.00	309.00	2728.00	2927.00	3657.00	3017.00	3707.00	4363.00
"FBgn0000455"	670.00	739.00	693.00	1063.00	1207.00	1133.00	889.00	951.00	963.00	782.00	925.00	941.00	870.00	773.00	1205.00
"FBgn0000459"	0.00	0.00	1.00	0.00	0.00	1.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
"FBgn0000463"	1027.00	2141.00	2424.00	932.00	1320.00	784.00	2022.00	1277.00	1764.00	856.00	637.00	768.00	908.00	968.00	2243.00
"FBgn0000464"	404.00	945.00	1126.00	257.00	429.00	214.00	1369.00	778.00	1116.00	392.99	215.48	296.00	374.00	418.00	1176.82
"FBgn0000473"	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	1.00	0.00	0.00	0.00
"FBgn0000477"	0.00	0.00	0.00	2.00	4.00	7.00	0.00	0.00	0.00	1.00	0.00	0.00	0.00	0.00	0.00
"FBgn0000479"	749.00	1297.00	1197.00	832.00	1056.00	659.00	749.00	483.00	720.00	512.00	473.00	616.00	562.00	666.00	1335.00
"FBgn0000482"	490.00	631.00	730.00	818.00	816.00	838.00	997.00	775.00	1050.00	494.00	553.00	644.00	487.00	412.00	816.00
"FBgn0000489"	0.00	0.00	0.00	0.00	4.00	11.00	0.00	0.00	0.00	1.00	0.00	0.00	2.00	1.00	0.00
"FBgn0000490"	0.00	0.00	0.00	2.00	1.00	7.00	1.00	3.00	3.00	3.00	0.00	0.00	1.00	0.00	3.00
"FBgn0000492"	0.00	0.00	1.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
"FBgn0000499"	1534.00	2049.00	2175.00	2456.00	2547.00	2201.00	2406.00	1989.00	2296.00	1636.00	1608.00	1776.00	1968.00	1540.00	2746.00
"FBgn0000500"	1.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	1.00	1.00	1.00	2.00	0.00	0.00	0.00
"FBgn0000504"	2.00	2.00	1.00	1.00	0.00	0.00	2.00	7.00	3.00	1.00	0.00	1.00	1.00	0.00	0.00
"FBgn0000520"	712.00	957.00	900.00	1230.00	1254.00	1223.00	472.00	479.00	539.00	642.00	761.00	685.00	749.00	876.00	1018.00
"FBgn0000524"	2232.00	3004.00	3078.00	2734.00	3247.00	2438.00	583.00	282.00	526.00	1837.00	1686.00	2134.00	2257.00	2142.00	3743.00
"FBgn0000527"	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
"FBgn0000529"	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	1.00	0.00	0.00	0.00	0.00	0.00	0.00
"FBgn0000533"	1102.00	1363.00	1219.00	1867.00	1990.00	1827.00	1453.00	1326.00	1432.00	1305.00	1352.00	1610.00	1646.00	1293.00	1987.00
"FBgn0000535"	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	1.00	0.00	0.00	1.00	0.00	0.00
"FBgn0000536"	1728.00	2198.00	1819.00	2731.00	2991.00	2549.00	1975.00	1751.00	1719.00	2423.00	2016.00	2555.00	2151.00	1897.00	3264.00
"FBgn0000541"	4008.00	8843.00	8993.00	3890.00	5366.00	3186.00	8308.00	5416.00	7426.00	2943.00	2074.00	2711.00	2968.00	3534.00	10005.00
"FBgn0000542"	0.00	3.00	3.00	2.00	5.00	5.00	0.00	0.00	1.00	2.00	2.00	0.00	1.00	1.00	2.00
"FBgn0000543"	847.00	1123.00	1023.00	1480.00	1502.00	1409.00	424.00	394.00	431.00	777.00	804.00	914.00	783.00	877.00	1287.00
"FBgn0000546"	1134.00	1900.00	2183.00	1204.00	1680.00	1066.00	2108.00	1528.00	1853.00	1002.00	795.00	890.00	1077.00	919.00	2256.00
"FBgn0000547"	2059.00	4359.00	4162.00	1550.00	2166.00	1260.00	5445.00	3547.00	4851.00	1810.00	1175.00	1385.00	1706.00	1577.00	4922.00
"FBgn0000551"	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
"FBgn0000552"	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
"FBgn0000557"	0.00	1.00	2.00	0.00	1.00	6.00	1.00	0.00	1.00	4.00	2.00	2.00	2.00	1.00	1.00
"FBgn0000559"	70048.00	92956.00	95640.00	96534.00	110963.00	97016.00	131858.00	106866.00	124573.00	75470.00	66261.00	77757.00	70387.00	54505.00	118874.00
"FBgn0000560"	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
"FBgn0000562"	1612.00	2608.00	2589.00	2183.00	2695.00	1863.00	308.00	149.00	281.00	1048.00	925.00	1187.00	1125.00	1351.00	2442.00
"FBgn0000564"	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
"FBgn0000565"	143.00	169.00	104.00	208.00	229.00	245.00	6.00	13.00	4.00	177.00	143.00	147.00	193.00	282.00	292.00
"FBgn0000566"	2813.00	3220.00	3018.00	4217.00	4421.00	4169.00	3179.00	3287.00	3064.00	3394.00	3152.00	3322.00	3220.00	2681.00	3790.00
"FBgn0000567"	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	1.00	0.00	2.00
