	"RWUpf_B.genes.results"	"RWUpf_C.genes.results"	"RWUpf_D.genes.results"	"RWNos_A.genes.results"	"RWNos_B.genes.results"	"RWNos_C.genes.results"	"RWUN_G.genes.results"	"RWUN_K.genes.results"	"RWUN_L.genes.results"	"RWL7_A.genes.results"	"RWL7_B.genes.results"	"RWL7_C.genes.results"	"RWW_B.genes.results"	"RWW_C.genes.results"	"RWW_D.genes.results"
"FBgn0000003"	0.00	17.81	24.06	49.11	39.05	45.39	47.68	19.37	26.38	23.18	30.88	24.09	23.40	49.56	18.31
"FBgn0000008"	6.55	9.27	13.01	7.76	9.30	7.59	3.14	1.55	2.50	3.86	3.13	3.51	5.12	7.30	10.89
"FBgn0000014"	0.00	0.00	0.02	0.02	0.00	0.06	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
"FBgn0000015"	0.00	0.00	0.00	0.00	0.02	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
"FBgn0000017"	10.35	20.47	28.54	5.45	8.14	3.20	32.75	17.22	27.23	6.66	4.85	5.82	8.10	10.67	20.46
"FBgn0000018"	22.81	25.59	24.74	31.81	31.39	29.20	17.24	14.90	17.14	24.25	19.26	25.33	31.34	29.89	31.29
"FBgn0000022"	0.76	0.70	0.30	0.81	0.90	0.84	1.11	0.45	0.98	1.36	0.57	1.41	3.48	0.98	1.87
"FBgn0000024"	0.00	0.00	0.00	0.00	0.03	0.00	0.00	0.03	0.00	0.00	0.00	0.00	0.00	0.00	0.02
"FBgn0000028"	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
"FBgn0000032"	158.94	180.75	183.92	184.49	193.59	178.42	156.64	122.84	140.01	156.52	135.85	154.43	156.39	151.45	189.20
"FBgn0000036"	0.00	0.01	0.00	0.00	0.00	0.00	0.00	0.01	0.00	0.02	0.00	0.02	0.00	0.00	0.00
"FBgn0000037"	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
"FBgn0000038"	0.00	0.03	0.00	0.05	0.00	0.00	0.07	0.03	0.06	0.05	0.00	0.08	0.16	0.17	0.24
"FBgn0000039"	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
"FBgn0000042"	1388.27	1694.23	1961.77	1828.04	1848.71	1922.08	2690.30	2102.25	2468.54	1142.98	1217.60	1284.76	1346.50	1262.98	1847.15
"FBgn0000043"	206.79	226.86	264.57	259.61	265.68	264.00	365.40	293.20	323.01	186.59	183.92	186.22	211.36	184.11	273.06
"FBgn0000044"	0.18	0.13	0.10	0.39	0.04	0.00	0.05	0.04	0.00	0.00	0.00	0.11	0.12	0.08	0.43
"FBgn0000045"	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.04	0.00	0.00	0.00
"FBgn0000046"	0.00	0.00	0.00	0.04	0.08	0.04	0.00	0.00	0.00	0.00	0.00	0.04	0.04	0.05	0.00
"FBgn0000047"	0.05	0.09	0.00	0.00	0.00	0.00	0.00	0.00	0.05	0.00	0.04	0.04	0.00	0.00	0.00
"FBgn0000052"	17.01	22.83	29.26	21.01	20.80	20.81	5.86	3.38	5.78	10.33	9.93	11.92	12.16	15.16	18.94
"FBgn0000053"	24.96	26.37	32.73	35.53	34.62	33.17	32.15	28.46	29.26	18.11	27.30	27.98	10.27	11.02	13.58
"FBgn0000055"	263.05	270.32	225.40	356.77	342.22	362.38	28.12	18.81	23.78	389.26	340.75	320.40	522.12	576.98	431.31
"FBgn0000056"	0.80	0.52	0.28	0.64	0.90	0.60	0.64	0.30	0.32	1.11	1.08	1.38	0.77	1.40	1.24
"FBgn0000057"	34.52	42.87	45.79	46.71	44.86	44.51	26.67	18.69	25.55	27.84	29.14	33.34	33.76	36.07	43.06
"FBgn0000061"	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
"FBgn0000063"	44.46	51.79	49.29	55.54	60.91	56.91	7.02	3.98	7.45	38.82	34.05	43.12	46.20	46.13	58.74
"FBgn0000064"	139.26	205.38	218.05	165.92	165.65	173.73	236.08	220.24	232.22	144.71	146.25	131.55	127.88	142.18	178.20
"FBgn0000071"	0.00	0.09	0.06	0.52	0.98	4.87	0.17	0.00	0.05	0.09	0.04	0.13	0.05	0.00	0.04
"FBgn0000075"	0.00	0.00	0.00	0.00	0.03	0.04	0.09	0.00	0.04	0.04	0.11	0.07	0.08	0.04	0.07
"FBgn0000077"	56.89	65.03	58.62	68.56	71.86	69.76	38.32	29.73	29.78	57.99	52.32	58.18	64.97	64.96	66.99
"FBgn0000078"	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
"FBgn0000079"	0.05	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.04	0.00	0.00	0.00	0.00
"FBgn0000083"	129.95	119.51	121.14	183.81	176.03	179.46	149.61	153.64	148.61	131.99	132.11	121.68	97.44	81.43	109.47
"FBgn0000084"	55.29	48.98	56.11	56.86	53.54	53.82	6.07	4.78	5.39	48.66	56.58	55.40	59.94	55.66	44.72
"FBgn0000092"	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.07	0.00	0.00	0.00	0.00	0.07
"FBgn0000094"	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.68	0.59
"FBgn0000097"	19.79	29.83	38.95	22.51	27.82	22.51	21.67	13.11	19.96	14.26	11.45	14.87	18.10	19.55	35.70
"FBgn0000100"	2133.95	2178.92	2110.19	1665.85	1381.81	1834.11	2606.54	2696.47	2832.60	1684.15	2264.90	2402.78	1675.07	1733.41	1613.64
"FBgn0000108"	0.17	0.28	0.39	0.18	0.05	0.12	0.15	0.15	0.21	0.11	0.14	0.06	0.14	0.14	0.19
"FBgn0000109"	61.52	64.08	62.70	71.99	79.15	68.42	73.71	68.99	73.14	69.59	74.39	68.16	66.52	69.58	75.04
"FBgn0000114"	353.34	453.27	483.33	483.95	495.53	477.83	34.00	18.49	30.91	308.92	282.23	319.37	345.32	399.71	466.26
"FBgn0000115"	183.85	180.66	169.59	200.50	204.39	204.89	196.29	217.70	200.77	183.04	202.23	188.33	190.02	184.74	199.45
"FBgn0000116"	51.91	68.24	71.00	81.08	71.60	84.34	5.04	2.89	4.14	33.28	34.47	35.46	31.80	44.25	50.42
"FBgn0000117"	169.86	221.01	268.94	193.24	210.23	194.37	344.67	238.40	283.53	148.29	131.55	130.51	137.84	122.26	229.73
"FBgn0000119"	8.06	13.95	18.08	6.97	9.40	5.62	15.80	9.33	13.94	4.98	3.86	5.47	6.65	6.52	14.31
"FBgn0000120"	0.00	0.11	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.05	0.00	0.11	0.00
"FBgn0000121"	0.05	0.05	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.04	0.04	0.05	0.00
"FBgn0000137"	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
"FBgn0000139"	52.09	63.05	64.46	58.88	59.85	57.85	80.49	69.50	78.77	45.33	46.12	50.64	53.74	48.38	66.57
"FBgn0000140"	37.75	64.92	85.18	41.16	49.71	37.10	36.70	18.93	32.61	24.33	20.38	23.99	22.17	29.92	58.83
"FBgn0000146"	42.06	46.76	60.99	54.55	57.73	53.41	60.00	43.80	54.32	56.32	34.89	43.84	45.63	34.05	65.88
"FBgn0000147"	147.41	145.14	158.48	198.44	199.71	194.96	142.57	133.45	132.02	158.62	156.28	168.48	159.23	142.53	189.67
"FBgn0000150"	4004.72	3785.37	3774.13	3479.86	3222.54	3912.77	2086.03	2294.57	2442.52	3962.14	4802.38	4137.99	3613.40	3768.98	2733.73
"FBgn0000152"	18.17	20.80	23.70	25.72	24.41	24.12	9.13	6.65	9.39	15.97	18.21	20.98	16.38	15.01	21.73
"FBgn0000153"	0.08	0.13	0.20	0.16	0.18	0.19	0.08	0.17	0.31	0.19	0.33	0.21	0.07	0.17	0.03
"FBgn0000157"	0.00	0.00	0.00	0.00	0.06	0.06	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
"FBgn0000158"	66.55	77.42	76.70	68.20	70.11	65.08	41.00	37.67	41.13	44.39	48.41	54.50	50.93	58.49	64.24
"FBgn0000163"	9.07	15.24	19.50	4.99	7.26	3.66	17.31	9.92	15.02	5.15	3.90	4.43	5.41	7.81	15.42
"FBgn0000166"	129.58	119.61	155.63	167.60	170.10	148.11	5.58	2.89	4.57	109.43	112.44	118.76	118.45	84.86	137.90
"FBgn0000173"	577.84	601.20	557.76	698.20	713.70	711.01	790.05	797.10	742.20	613.54	598.59	588.82	571.04	561.77	660.34
"FBgn0000179"	0.01	0.03	0.04	0.01	0.01	0.00	0.01	0.01	0.01	0.07	0.07	0.00	0.00	0.00	0.00
"FBgn0000180"	0.05	0.06	0.10	0.13	0.09	0.59	0.14	0.22	0.14	0.02	0.02	0.02	0.10	0.04	0.12
"FBgn0000181"	1592.73	1539.43	1511.50	1830.31	1737.26	1806.12	911.29	914.33	936.25	1557.57	1506.74	1572.50	1684.62	1683.65	1465.21
"FBgn0000182"	109.46	147.72	166.59	128.23	135.87	120.96	3.14	1.38	3.08	52.39	56.34	68.45	59.29	98.36	108.65
"FBgn0000183"	65.92	80.41	97.64	61.22	70.13	57.94	70.40	47.86	61.60	49.46	41.94	50.92	55.77	50.43	101.97
"FBgn0000206"	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
"FBgn0000212"	22.23	49.54	70.66	15.21	20.29	12.32	81.60	39.33	69.74	12.81	11.27	13.73	15.24	19.46	40.57
"FBgn0000216"	5.84	6.86	8.31	7.81	9.85	9.53	7.22	7.06	4.72	11.76	10.24	15.42	25.08	10.33	17.11
"FBgn0000221"	18.82	23.87	23.76	21.65	22.90	23.36	17.31	16.72	19.53	17.73	18.96	19.14	17.93	22.46	20.34
"FBgn0000227"	0.90	0.88	0.63	4.82	7.14	13.61	1.33	0.80	1.22	1.20	1.02	1.82	3.74	0.95	1.73
"FBgn0000228"	29.07	49.52	62.05	35.11	42.17	39.14	66.08	40.39	55.01	20.71	19.32	20.96	23.99	26.90	53.42
"FBgn0000229"	18.88	22.67	22.32	27.45	30.12	27.06	4.93	3.02	4.13	25.02	24.34	27.68	25.90	30.48	25.84
"FBgn0000233"	0.00	0.05	0.03	0.04	0.00	0.07	0.03	0.02	0.00	0.00	0.00	0.02	0.00	0.00	0.00
"FBgn0000239"	143.40	177.89	195.69	149.79	167.17	141.38	208.10	148.43	179.35	111.59	94.39	113.84	121.45	113.72	201.75
"FBgn0000241"	0.12	0.17	0.16	0.10	0.00	0.05	0.29	0.18	0.22	0.09	0.09	0.09	0.00	0.00	0.00
"FBgn0000244"	3.47	2.79	3.68	4.95	4.21	4.46	6.38	4.95	5.39	4.14	3.64	3.21	2.35	2.98	3.65
"FBgn0000246"	14.05	17.54	15.77	16.90	19.40	15.23	39.30	34.27	36.57	22.07	17.35	17.31	43.92	42.58	77.37
"FBgn0000247"	4.66	8.37	11.96	4.14	5.76	3.64	1.55	0.54	1.08	2.32	2.12	2.99	3.06	4.36	7.87
"FBgn0000250"	306.23	343.71	406.86	393.27	407.56	402.03	491.73	383.58	451.07	282.27	255.96	294.74	305.48	242.13	435.28
"FBgn0000251"	115.61	140.78	166.60	141.21	144.51	138.29	136.91	99.65	130.50	98.23	100.47	113.33	114.84	107.24	131.51
"FBgn0000253"	769.79	951.80	963.78	943.67	937.45	842.24	1292.65	1112.14	1191.63	697.72	638.95	669.27	603.12	545.66	1082.31
"FBgn0000256"	8.47	9.91	10.88	4.58	6.23	4.00	2.04	1.03	1.97	5.49	4.36	5.96	6.47	9.78	11.15
"FBgn0000257"	21.63	23.81	28.91	25.38	26.86	24.18	13.44	9.78	11.11	18.84	19.17	21.04	20.39	21.34	24.75
"FBgn0000259"	234.60	243.80	213.06	275.43	257.86	256.83	37.88	28.76	32.76	196.73	157.60	192.99	206.13	307.82	259.20
"FBgn0000261"	33.86	35.99	44.89	50.92	53.94	52.44	70.71	52.53	62.66	34.19	33.48	38.67	42.10	31.22	54.83
"FBgn0000273"	25.28	39.20	46.56	28.77	32.84	27.08	59.34	38.25	50.93	19.19	16.62	20.21	21.34	23.01	44.74
"FBgn0000274"	1.08	1.10	0.70	1.17	1.37	1.21	2.99	2.24	2.45	1.86	1.99	1.78	0.78	0.95	1.31
"FBgn0000276"	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
"FBgn0000277"	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
"FBgn0000278"	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
"FBgn0000279"	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
"FBgn0000280"	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
"FBgn0000281"	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
"FBgn0000283"	94.46	148.78	181.94	80.22	93.55	75.41	240.32	154.76	200.78	73.22	57.75	66.66	67.63	61.16	155.56
"FBgn0000286"	10.98	17.07	19.32	9.85	10.43	8.55	0.50	0.26	0.48	7.30	7.06	8.23	9.38	14.67	15.88
"FBgn0000287"	0.02	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.01	0.00	0.00	0.00	0.00
"FBgn0000289"	75.42	97.69	115.16	99.65	110.81	93.84	91.49	60.48	82.84	65.40	56.63	68.02	67.45	63.94	105.65
"FBgn0000299"	0.00	0.00	0.00	0.00	0.00	0.00	0.01	0.00	0.00	0.00	0.02	0.00	0.00	0.00	0.00
"FBgn0000303"	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
"FBgn0000307"	25.07	49.60	59.31	16.87	23.40	13.88	73.41	44.69	62.98	14.11	10.12	12.33	15.42	21.18	51.15
"FBgn0000308"	820.78	892.72	847.28	1050.12	1053.07	1002.70	1046.31	1085.93	1031.28	859.22	820.37	805.14	836.37	842.43	878.38
"FBgn0000316"	123.20	124.68	141.03	132.95	141.38	139.64	195.80	165.17	169.21	126.89	111.75	114.92	109.81	79.22	144.55
"FBgn0000317"	13.39	25.80	32.68	11.45	14.04	10.33	40.90	22.80	33.95	8.50	6.22	8.21	8.38	9.20	22.57
"FBgn0000318"	535.45	491.52	440.95	438.76	432.00	439.27	517.07	603.65	553.99	553.43	609.84	579.90	593.55	581.18	524.48
"FBgn0000319"	40.23	63.34	71.96	51.21	58.19	49.62	106.09	63.14	92.13	26.78	28.24	35.70	32.21	31.65	73.51
"FBgn0000320"	0.00	0.00	0.00	0.00	0.00	0.02	0.00	0.03	0.00	0.00	0.00	0.00	0.00	0.00	0.00
"FBgn0000326"	28.41	32.06	38.86	35.54	36.19	33.31	51.46	41.62	47.27	30.82	30.91	33.23	29.19	25.20	36.89
"FBgn0000330"	61.19	61.71	68.29	85.23	79.91	82.32	99.59	91.23	91.03	60.49	66.16	68.35	60.69	58.93	65.73
"FBgn0000337"	0.13	0.04	0.05	0.11	0.07	0.04	0.00	0.04	0.00	0.00	0.04	0.04	0.04	0.04	0.00
"FBgn0000339"	202.72	191.13	172.94	204.41	205.71	196.81	223.76	253.23	222.01	222.56	212.64	214.33	224.12	209.21	198.93
"FBgn0000346"	2.92	3.30	4.48	4.95	4.61	4.58	7.73	5.28	6.16	2.71	3.72	3.61	5.48	5.35	9.21
"FBgn0000351"	18.89	20.68	17.48	24.54	20.69	23.44	1.03	0.83	0.64	15.71	14.54	16.08	21.04	29.48	24.17
"FBgn0000352"	24.62	34.22	46.37	24.11	27.38	21.23	55.14	37.46	50.01	18.74	15.96	17.52	19.08	17.78	38.82
"FBgn0000355"	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
"FBgn0000356"	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
"FBgn0000357"	0.15	0.00	0.00	0.00	0.00	0.13	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
"FBgn0000358"	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
"FBgn0000359"	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
"FBgn0000360"	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
"FBgn0000370"	226.20	248.56	269.70	192.28	197.18	180.55	373.52	353.78	336.83	294.17	205.49	221.23	224.49	206.90	291.03
"FBgn0000376"	37.15	51.76	69.20	36.79	41.90	31.96	58.45	40.29	57.61	27.19	27.78	31.37	35.09	36.29	61.85
"FBgn0000377"	31.03	36.22	43.58	43.20	41.77	45.03	62.14	48.45	56.93	25.05	29.28	29.24	28.96	24.62	42.70
"FBgn0000382"	19.84	35.09	45.20	16.92	19.43	13.74	38.77	23.89	34.93	12.58	10.86	11.83	12.26	17.44	31.34
"FBgn0000384"	191.57	208.26	194.83	208.57	221.68	188.51	281.62	270.89	262.28	195.39	154.55	176.15	173.32	175.03	236.62
"FBgn0000392"	65.73	102.86	125.06	90.82	97.32	90.44	48.41	29.74	46.59	42.84	40.59	49.66	49.56	64.45	104.43
"FBgn0000394"	10.85	9.78	10.56	17.62	16.46	16.26	3.29	2.28	2.98	15.14	9.36	12.41	16.14	15.29	15.74
"FBgn0000395"	0.00	0.02	0.00	0.01	0.05	0.09	0.00	0.00	0.00	0.00	0.00	0.01	0.01	0.00	0.00
"FBgn0000404"	893.59	1041.19	1145.68	866.50	932.44	817.16	865.12	597.55	711.12	841.28	686.15	738.09	682.58	479.35	1122.30
"FBgn0000405"	1654.09	2047.17	2431.05	1845.06	2036.65	1825.35	2476.45	1734.40	2104.75	1590.42	1404.24	1575.94	1486.75	1116.81	2259.74
"FBgn0000406"	0.00	0.05	0.00	0.00	0.00	0.00	0.00	0.00	0.06	0.09	0.05	0.04	0.71	0.36	0.64
"FBgn0000411"	0.00	0.00	0.26	1.50	0.60	3.18	0.00	0.15	0.10	0.08	0.03	0.03	0.04	0.05	0.04
"FBgn0000412"	254.10	281.47	319.48	318.37	303.61	311.45	408.78	351.96	373.38	238.18	247.08	239.55	225.28	175.23	320.09
"FBgn0000414"	5.11	12.43	17.21	2.99	4.47	2.12	13.97	6.75	12.36	2.78	2.20	2.98	3.74	6.47	12.29
"FBgn0000416"	157.50	231.04	260.32	153.20	168.35	158.87	337.98	197.94	282.54	126.34	107.55	130.18	127.40	114.84	247.08
"FBgn0000422"	0.00	0.00	0.00	0.00	0.03	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
"FBgn0000426"	471.79	429.11	399.88	469.91	443.20	486.23	524.01	625.48	570.88	553.04	567.48	529.66	467.48	504.83	395.20
"FBgn0000427"	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
"FBgn0000439"	0.05	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
"FBgn0000442"	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
"FBgn0000447"	87.05	96.08	110.85	105.45	104.72	106.79	114.03	117.05	124.76	71.25	83.45	80.52	76.10	90.90	82.98
"FBgn0000448"	0.19	0.30	0.19	0.05	0.11	0.09	0.02	0.03	0.03	0.03	0.06	0.11	0.16	0.20	0.48
"FBgn0000449"	0.00	0.00	0.00	0.03	0.22	0.65	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
"FBgn0000451"	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
"FBgn0000454"	140.08	148.20	157.48	170.60	161.16	168.19	13.87	9.68	12.56	93.32	100.96	122.67	107.26	142.10	139.14
"FBgn0000455"	29.95	30.30	32.60	40.31	42.57	44.06	41.89	40.60	43.92	29.10	34.71	34.56	33.58	32.16	42.10
"FBgn0000459"	0.00	0.00	0.03	0.00	0.00	0.02	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
"FBgn0000463"	15.09	29.42	39.02	11.88	15.71	10.39	31.42	18.07	27.06	10.35	7.48	9.54	11.77	13.77	27.09
"FBgn0000464"	3.62	7.78	10.73	1.93	3.04	1.64	13.16	6.60	10.39	2.87	1.61	2.19	2.86	3.51	8.17
"FBgn0000473"	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.04	0.00	0.00	0.00
"FBgn0000477"	0.00	0.00	0.00	0.11	0.21	0.41	0.00	0.00	0.00	0.06	0.00	0.00	0.00	0.00	0.00
"FBgn0000479"	14.44	21.89	23.60	13.87	16.96	11.61	15.24	8.59	14.75	8.46	8.23	10.27	10.79	12.83	20.66
"FBgn0000482"	11.53	13.61	18.11	16.32	15.13	17.11	24.79	17.41	25.21	9.70	10.97	12.44	9.91	9.05	14.96
"FBgn0000489"	0.00	0.00	0.00	0.00	0.12	0.30	0.00	0.00	0.00	0.03	0.00	0.00	0.07	0.04	0.00
"FBgn0000490"	0.00	0.00	0.00	0.04	0.02	0.13	0.02	0.07	0.07	0.06	0.00	0.00	0.02	0.00	0.05
"FBgn0000492"	0.00	0.00	0.03	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
"FBgn0000499"	40.41	49.48	60.40	54.82	52.87	50.31	66.96	49.99	61.69	35.95	35.70	38.40	44.84	37.85	56.34
"FBgn0000500"	0.18	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.19	0.15	0.16	0.30	0.00	0.00	0.00
"FBgn0000504"	0.04	0.04	0.02	0.02	0.00	0.00	0.04	0.14	0.06	0.02	0.00	0.02	0.02	0.00	0.00
"FBgn0000520"	27.45	33.83	36.58	40.16	38.09	40.99	19.22	17.61	21.19	20.66	24.76	21.67	24.98	31.50	30.58
"FBgn0000524"	42.92	52.94	62.38	44.56	49.19	40.63	11.85	5.17	10.32	29.45	27.30	33.67	37.53	38.43	56.04
"FBgn0000527"	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
"FBgn0000529"	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.05	0.00	0.00	0.00	0.00	0.00	0.00
"FBgn0000533"	61.82	70.28	72.21	88.76	88.08	89.44	86.30	71.07	82.06	61.29	64.26	74.32	80.03	67.57	87.05
"FBgn0000535"	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.02	0.00	0.00	0.01	0.00	0.00
"FBgn0000536"	59.86	69.78	66.35	80.06	81.51	76.47	72.62	58.04	60.93	70.00	58.89	72.74	64.48	61.29	88.14
"FBgn0000541"	35.65	72.74	85.31	29.29	37.64	24.46	82.18	48.64	71.26	21.91	15.58	19.68	22.89	29.15	69.94
"FBgn0000542"	0.00	0.03	0.03	0.02	0.04	0.05	0.00	0.00	0.01	0.02	0.02	0.00	0.01	0.01	0.02
"FBgn0000543"	29.38	35.72	37.42	43.49	41.06	42.47	15.54	13.04	15.25	22.50	23.53	26.03	23.50	28.38	34.79
"FBgn0000546"	21.26	32.37	42.93	19.13	24.92	17.49	41.06	27.21	35.09	15.44	12.19	13.63	17.44	15.81	32.89
"FBgn0000547"	24.64	49.45	54.42	15.34	20.53	12.38	70.11	39.01	60.03	17.12	11.18	12.92	16.68	17.27	47.21
"FBgn0000551"	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
"FBgn0000552"	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
"FBgn0000557"	0.00	0.03	0.06	0.00	0.02	0.15	0.03	0.00	0.03	0.10	0.05	0.05	0.05	0.03	0.02
"FBgn0000559"	1740.43	2162.97	2593.57	2044.63	2188.27	2090.21	3538.42	2532.07	3175.11	1563.09	1386.34	1584.63	1511.22	1262.36	2372.10
"FBgn0000560"	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
"FBgn0000562"	26.99	39.93	45.20	30.96	36.01	27.22	5.56	2.49	4.78	14.77	13.42	16.48	16.26	21.31	31.81
"FBgn0000564"	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
"FBgn0000565"	12.13	12.96	9.07	14.63	15.39	18.06	0.59	1.06	0.38	12.37	10.23	10.33	14.17	21.83	19.09
"FBgn0000566"	164.80	173.77	187.26	209.33	205.30	213.52	197.17	184.47	184.01	166.73	156.41	160.93	164.70	147.87	174.61
"FBgn0000567"	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.01	0.00	0.02
"FBgn0000568"	0.77	1.63	1.34	0.58	0.64	0.37	0.08	0.05	0.13	0.21	0.25	0.29	0.93	1.67	2.62
"FBgn0000575"	44.79	50.72	49.13	49.78	51.81	47.62	33.98	27.59	29.20	47.75	34.85	40.19	44.35	46.24	48.08
"FBgn0000576"	0.00	0.00	0.00	0.00	0.19	0.08	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
"FBgn0000577"	0.00	0.00	0.00	0.00	0.00	0.08	0.00	0.03	0.00	0.03	0.00	0.03	0.00	0.00	0.00
"FBgn0000578"	13.14	23.50	29.33	10.32	14.33	9.94	29.29	17.43	27.43	7.86	7.08	7.70	11.50	13.12	24.10
"FBgn0000579"	1108.04	1283.12	1392.41	1163.29	1140.89	1143.75	247.77	159.89	233.64	1003.77	1106.41	1131.69	1106.47	1248.92	1113.32
"FBgn0000581"	13.78	31.19	43.65	9.28	12.46	6.19	20.98	11.61	18.74	6.48	4.52	5.80	8.45	15.60	27.66
"FBgn0000588"	83.54	91.59	99.09	119.97	114.01	116.79	31.02	22.99	28.17	76.39	76.66	77.52	103.56	108.86	115.75
"FBgn0000591"	0.00	0.00	0.13	0.10	0.00	0.11	0.13	0.00	0.12	0.00	0.00	0.00	0.00	0.00	0.09
"FBgn0000592"	0.09	0.04	0.05	0.00	0.00	0.00	0.00	0.04	0.00	0.04	0.04	0.07	0.00	0.04	0.00
"FBgn0000594"	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
"FBgn0000606"	0.06	0.42	0.42	0.10	0.36	0.90	0.00	0.11	0.23	0.29	0.24	0.19	0.45	0.21	0.49
"FBgn0000611"	105.12	118.43	135.48	120.21	124.85	116.01	188.37	154.18	164.11	87.23	80.76	77.39	83.87	66.74	132.53
"FBgn0000615"	193.23	226.65	207.33	229.71	229.46	236.54	16.79	12.57	16.42	140.33	129.36	139.37	195.76	281.75	227.43
